id	img	label
5255	BErRecordID_5255_T1.nii	1
1535	BErRecordID_1535_T1.nii	1
2008	BErRecordID_2008_T1.nii	1
1857	BErRecordID_1857_T1.nii	1
6229	BErRecordID_6229_T1.nii	1
2914	BErRecordID_2914_T1.nii	1
0511	BErRecordID_0511_T1.nii	1
5446	BErRecordID_5446_T1.nii	1
5704	BErRecordID_5704_T1.nii	1
2901	BErRecordID_2901_T1.nii	1
5905	BErRecordID_5905_T1.nii	1
1981	BErRecordID_1981_T1.nii	1
6276	BErRecordID_6276_T1.nii	1
5478	BErRecordID_5478_T1.nii	1
4909	BErRecordID_4909_T1.nii	1
0501	BErRecordID_0501_T1.nii	1
5926	BErRecordID_5926_T1.nii	1
0440	BErRecordID_0440_T1.nii	1
5306	BErRecordID_5306_T1.nii	1
5765	BErRecordID_5765_T1.nii	1
0252	BErRecordID_0252_T1.nii	1
6431	BErRecordID_6431_T1.nii	1
0638	BErRecordID_0638_T1.nii	1
2223	BErRecordID_2223_T1.nii	1
0360	BErRecordID_0360_T1.nii	1
5640	BErRecordID_5640_T1.nii	1
0624	BErRecordID_0624_T1.nii	1
2228	BErRecordID_2228_T1.nii	1
5722	BErRecordID_5722_T1.nii	1
5743	BErRecordID_5743_T1.nii	1
2526	BErRecordID_2526_T1.nii	1
0762	BErRecordID_0762_T1.nii	1
1002	BErRecordID_1002_T1.nii	1
2152	BErRecordID_2152_T1.nii	1
5485	BErRecordID_5485_T1.nii	1
2953	BErRecordID_2953_T1.nii	1
0923	BErRecordID_0923_T1.nii	1
0049	BErRecordID_0049_T1.nii	1
0772	BErRecordID_0772_T1.nii	1
0457	BErRecordID_0457_T1.nii	1
0778	BErRecordID_0778_T1.nii	1
1336	BErRecordID_1336_T1.nii	1
5982	BErRecordID_5982_T1.nii	1
0514	BErRecordID_0514_T1.nii	1
0683	BErRecordID_0683_T1.nii	1
1797	BErRecordID_1797_T1.nii	1
3341	BErRecordID_3341_T1.nii	1
0838	BErRecordID_0838_T1.nii	1
1733	BErRecordID_1733_T1.nii	1
1712	BErRecordID_1712_T1.nii	1
0248	BErRecordID_0248_T1.nii	1
5497	BErRecordID_5497_T1.nii	1
0652	BErRecordID_0652_T1.nii	1
2972	BErRecordID_2972_T1.nii	1
1383	BErRecordID_1383_T1.nii	1
0570	BErRecordID_0570_T1.nii	1
6090	BErRecordID_6090_T1.nii	1
5976	BErRecordID_5976_T1.nii	1
5767	BErRecordID_5767_T1.nii	1
1538	BErRecordID_1538_T1.nii	4
0205	BErRecordID_0205_T1.nii	4
4741	BErRecordID_4741_T1.nii	4
4367	BErRecordID_4367_T1.nii	4
3623	BErRecordID_3623_T1.nii	4
2832	BErRecordID_2832_T1.nii	4
3358	BErRecordID_3358_T1.nii	4
3540	BErRecordID_3540_T1.nii	4
4756	BErRecordID_4756_T1.nii	4
0525	BErRecordID_0525_T1.nii	4
0314	BErRecordID_0314_T1.nii	4
3930	BErRecordID_3930_T1.nii	4
0847	BErRecordID_0847_T1.nii	4
6416	BErRecordID_6416_T1.nii	4
1889	BErRecordID_1889_T1.nii	4
5106	BErRecordID_5106_T1.nii	4
0706	BErRecordID_0706_T1.nii	4
3081	BErRecordID_3081_T1.nii	4
2659	BErRecordID_2659_T1.nii	4
1761	BErRecordID_1761_T1.nii	4
4487	BErRecordID_4487_T1.nii	4
5377	BErRecordID_5377_T1.nii	4
0717	BErRecordID_0717_T1.nii	4
5248	BErRecordID_5248_T1.nii	4
0473	BErRecordID_0473_T1.nii	4
6095	BErRecordID_6095_T1.nii	4
1291	BErRecordID_1291_T1.nii	4
3706	BErRecordID_3706_T1.nii	4
2794	BErRecordID_2794_T1.nii	4
2800	BErRecordID_2800_T1.nii	4
1536	BErRecordID_1536_T1.nii	4
3920	BErRecordID_3920_T1.nii	4
1086	BErRecordID_1086_T1.nii	4
1630	BErRecordID_1630_T1.nii	4
4575	BErRecordID_4575_T1.nii	4
0381	BErRecordID_0381_T1.nii	4
3980	BErRecordID_3980_T1.nii	4
4336	BErRecordID_4336_T1.nii	4
4465	BErRecordID_4465_T1.nii	4
4470	BErRecordID_4470_T1.nii	4
0157	BErRecordID_0157_T1.nii	4
0061	BErRecordID_0061_T1.nii	4
4456	BErRecordID_4456_T1.nii	4
1976	BErRecordID_1976_T1.nii	4
0454	BErRecordID_0454_T1.nii	4
3938	BErRecordID_3938_T1.nii	4
2468	BErRecordID_2468_T1.nii	4
5327	BErRecordID_5327_T1.nii	4
0727	BErRecordID_0727_T1.nii	4
1952	BErRecordID_1952_T1.nii	4
0189	BErRecordID_0189_T1.nii	4
5069	BErRecordID_5069_T1.nii	4
0597	BErRecordID_0597_T1.nii	4
1753	BErRecordID_1753_T1.nii	4
4136	BErRecordID_4136_T1.nii	4
5137	BErRecordID_5137_T1.nii	4
6438	BErRecordID_6438_T1.nii	4
0527	BErRecordID_0527_T1.nii	4
2284	BErRecordID_2284_T1.nii	4
3313	BErRecordID_3313_T1.nii	4
1029	BErRecordID_1029_T1.nii	4
3825	BErRecordID_3825_T1.nii	4
0071	BErRecordID_0071_T1.nii	4
2556	BErRecordID_2556_T1.nii	4
2247	BErRecordID_2247_T1.nii	4
2003	BErRecordID_2003_T1.nii	4
3886	BErRecordID_3886_T1.nii	4
1848	BErRecordID_1848_T1.nii	4
0797	BErRecordID_0797_T1.nii	4
3959	BErRecordID_3959_T1.nii	4
5527	BErRecordID_5527_T1.nii	4
3111	BErRecordID_3111_T1.nii	4
3856	BErRecordID_3856_T1.nii	4
0368	BErRecordID_0368_T1.nii	4
5787	BErRecordID_5787_T1.nii	4
1548	BErRecordID_1548_T1.nii	4
4236	BErRecordID_4236_T1.nii	4
3253	BErRecordID_3253_T1.nii	4
5419	BErRecordID_5419_T1.nii	4
5077	BErRecordID_5077_T1.nii	4
2713	BErRecordID_2713_T1.nii	4
1105	BErRecordID_1105_T1.nii	4
1749	BErRecordID_1749_T1.nii	4
4875	BErRecordID_4875_T1.nii	4
1057	BErRecordID_1057_T1.nii	4
0887	BErRecordID_0887_T1.nii	4
1296	BErRecordID_1296_T1.nii	4
0163	BErRecordID_0163_T1.nii	4
5223	BErRecordID_5223_T1.nii	4
0376	BErRecordID_0376_T1.nii	4
2409	BErRecordID_2409_T1.nii	4
0283	BErRecordID_0283_T1.nii	4
5033	BErRecordID_5033_T1.nii	4
1517	BErRecordID_1517_T1.nii	4
1933	BErRecordID_1933_T1.nii	4
